Compound,Tc,Magnetism,Inversed,Moment,Cell_Parameter,mean_CovalentRadius,maxdiff_CovalentRadius,mean_Density,mean_FirstIonizationEnergy,dev_Polarizability,mean_phi,maxdiff_phi,mean_Column,maxdiff_Column,dev_Column,mean_GSenergy_pa,mean_GSmagmom,maxdiff_MendeleevNumber,mean_Number,maxdiff_Number,mean_NUnfilled,dev_NUnfilled,mean_NValance,dev_NValance,mean_NdValence,maxdiff_NdValence,mean_NdUnfilled,maxdiff_NdUnfilled,max_NdUnfilled,frac_sValence,frac_pValence,frac_dValence,frac_fValence,J sum,L sum,S sum,X_Type,Y_Type,Z_Type,Type(XY),Type(XZ),Type(YZ),Type,J(X),J(Y),J(Z),L(X),L(Y),L(Z),S(X),S(Y),S(Z),S(XY),S(XZ),S(YZ),L(XY),L(XZ),L(YZ),J(XY),J(XZ),J(YZ),Jg sum,C(T),C(FM),C(AFM),J(T),S(T),Val(T),J(FM),S(FM),L(FM),Val(FM),R(FM),J(AFM),S(AFM),L(AFM),Val(AFM),R(AFM),EN(X),EN(Y),EN(Z),Z(X),Z(Y),Z(Z),M(X),M(Y),M(Z),Val(X),Val(Y),Val(Z),R(X),R(Y),R(Z),Group(X),Group(Y),Group(Z),Unfilled(X),Unfilled(Z),EN(XY),EN(XZ),EN(YZ),Z(XY),Z(XZ),Z(YZ),M(XY),M(XZ),M(YZ),Val(XY),Val(XZ),Val(YZ),R(XY),R(XZ),R(YZ),Group(XY),Group(XZ),Group(YZ),Unfilled(XY),Unfilled(XZ),Unfilled(YZ),EN sum,Z sum,M sum,Val sum,R sum,Group sum,Unfilled sum,GSmom(XY),GSmom(XZ),GSmom(YZ),GSmom sum,GSmom(AB),GSmom(AC),GSmom(BD),GSmom(CD),EN(AB),EN(AC),EN(BD),EN(CD),Val(AB),Val(AC),Val(BD),Val(CD),Unf(AB),Unf(AC),Unf(BD),Unf(CD),J(AB),J(AC),J(BD),J(CD),R(AB),R(AC),R(BD),R(CD),M(AB),M(AC),M(BD),M(CD),L(AB),L(AC),L(BD),L(CD),S(AB),S(AC),S(BD),S(CD),d(XX)
Ag2CeIn,3,-1,0,0,7.108,159,62,8744.75,6.61938,8.14625,3.945,1.17,9.5,10,3.25,-3.2435396825,0,60,50.25,11,7.25,7.375,9.75,2.875,7.75,9,2.25,9,5,0.1538461538,0.0256410256,0.7948717949,0.0256410256,4,4,2,3,2,1,1,2,1,5,0.5,2.5,0.5,0,3,1,0.5,0.5,0.5,0,0,0,3,1,2,2,0,2,2.1428571429,0,0,0.297694522536365,0,0,0,0,0,0,0,0,2.5,0.5,3,2,204,1.93,1.12,1.78,47,58,49,71,32,79,11,2,3,145,204,142,11,4,13,0,0,0.81,0.15,0.66,11,2,9,39,8,47,9,8,1,59,3,62,7,2,9,0,0,0,6.76,201,253,27,636,39,0,0,0,0,0,0,0,0,0,1.525,1.93,1.45,1.855,6.5,11,2.5,7,0,0,0,0,1.5,0.5,1.5,0.5,174.5,145,173,143.5,51.5,71,55.5,75,1.5,0,2,0.5,0.5,0.5,0.5,0.5,3.554
Ag2DyIn,3.5,-1,0,0,6.91,156,50,9210.25,6.71943,6.23375,3.9525,1.14,9.5,10,3.25,-3.1997858833,0,44,52.25,19,2.75,1.75,11.75,0.75,7.5,10,0,0,0,0.1276595745,0.0212765957,0.6382978723,0.2127659574,9,6,4,3,2,1,1,2,1,5,0.5,7.5,0.5,0,5,1,0.5,2.5,0.5,2,0,2,5,1,4,7,0,7,10,0,0,0.329578237208714,0,0,0,0,0,0,0,0,7.5,2.5,5,2,192,1.93,1.22,1.78,47,66,49,71,24,79,11,2,3,145,192,142,11,12,13,0,0,0.71,0.15,0.56,19,2,17,47,8,55,9,8,1,47,3,50,1,2,1,0,0,0,6.86,209,245,27,624,47,0,0,0,0,0,0,0,0,0,1.575,1.93,1.5,1.855,6.5,11,2.5,7,0,0,0,0,4,0.5,4,0.5,168.5,145,167,143.5,47.5,71,51.5,75,2.5,0,3,0.5,1.5,0.5,1.5,0.5,3.455
Ag2ErIn,2,-1,0,0,6.882,155.25,47,9339,6.76163,5.55875,3.955,1.13,9.5,10,3.25,-3.1903057063,0,40,52.75,21,2.25,1.375,12.25,1.25,7.5,10,0,0,0,0.1224489796,0.0204081633,0.612244898,0.2448979592,9,7,3,3,2,1,1,2,1,5,0.5,7.5,0.5,0,6,1,0.5,1.5,0.5,1,0,1,6,1,5,7,0,7,9,0,0,0.335987339834565,0,0,0,0,0,0,0,0,7.5,1.5,6,2,189,1.93,1.24,1.78,47,68,49,71,22,79,11,2,3,145,189,142,11,14,13,0,0,0.69,0.15,0.54,21,2,19,49,8,57,9,8,1,44,3,47,3,2,1,0,0,0,6.88,211,243,27,621,49,0,0,0,0,0,0,0,0,0,1.585,1.93,1.51,1.855,6.5,11,2.5,7,0,0,0,0,4,0.5,4,0.5,167,145,165.5,143.5,46.5,71,50.5,75,3,0,3.5,0.5,1,0.5,1,0.5,3.441
Ag2GdIn,10,-1,0,0,6.965,157,54,9047.75,6.772155,5.85875,3.95,1.15,9.5,10,3.25,-3.2130025975,0,48,51.75,17,5.75,5.125,11.25,0.875,7.75,9,2.25,9,5,0.1333333333,0.0222222222,0.6888888889,0.1555555556,5,1,5,3,2,1,1,2,1,5,0.5,3.5,0.5,0,0,1,0.5,3.5,0.5,3,0,3,0,1,1,3,0,3,7,0,0.644725631831119,0,0,0,0,7,7,0,4,392,0,0,0,0,0,1.93,1.2,1.78,47,64,49,71,27,79,11,2,3,145,196,142,11,10,13,0,0,0.73,0.15,0.58,17,2,15,44,8,52,9,8,1,51,3,54,1,2,3,0,0,0,6.84,207,248,27,628,45,0,0,0,0,0,0,0,0,0,1.565,1.93,1.49,1.855,6.5,11,2.5,7,0,0,0,0,2,0.5,2,0.5,170.5,145,169,143.5,49,71,53,75,0,0,0.5,0.5,2,0.5,2,0.5,3.4825
Ag2HoIn,2,-1,0,0,6.893,156,50,9271.25,6.74008,5.89625,3.955,1.13,9.5,10,3.25,-3.1937514892,0,42,52.5,20,2.5,1.5,12,1,7.5,10,0,0,5,0.125,0.0208333333,0.625,0.2291666667,9.5,7,3.5,3,2,1,1,2,1,5,0.5,8,0.5,0,6,1,0.5,2,0.5,1.5,0,1.5,6,1,5,7.5,0,7.5,10,0,0,0.332866611910858,0,0,0,0,0,0,0,0,8,2,6,2,192,1.93,1.23,1.78,47,67,49,71,23,79,11,2,3,145,192,142,11,13,13,0,0,0.7,0.15,0.55,20,2,18,48,8,56,9,8,1,47,3,50,2,2,0,0,0,0,6.87,210,244,27,624,48,0,0,0,0,0,0,0,0,0,1.58,1.93,1.505,1.855,6.5,11,2.5,7,0,0,0,0,4.25,0.5,4.25,0.5,168.5,145,167,143.5,47,71,51,75,3,0,3.5,0.5,1.25,0.5,1.25,0.5,3.4465
Ag2InNd,2.5,-1,0,0,7.044,158.25,59,8825,6.615955,8.82125,3.9475,1.16,9.5,10,3.25,-3.239985105,0,56,50.75,13,4.25,3.25,10.25,2.125,7.5,10,0,0,7,0.1463414634,0.0243902439,0.7317073171,0.0975609756,6,7,3,3,2,1,1,2,1,5,0.5,4.5,0.5,0,6,1,0.5,1.5,0.5,1,0,1,6,1,5,4,0,4,3.2727272727,0,0,0.303797585659874,0,0,0,0,0,0,0,0,4.5,1.5,6,2,201,1.93,1.14,1.78,47,60,49,71,30,79,11,2,3,145,201,142,11,6,13,0,0,0.79,0.15,0.64,13,2,11,41,8,49,9,8,1,56,3,59,5,2,7,0,0,0,6.78,203,251,27,633,41,0,0,0,0,0,0,0,0,0,1.535,1.93,1.46,1.855,6.5,11,2.5,7,0,0,0,0,2.5,0.5,2.5,0.5,173,145,171.5,143.5,50.5,71,54.5,75,3,0,3.5,0.5,1,0.5,1,0.5,3.522
Ag2InSm,4.5,-1,0,0,7.001,157.5,56,8910.75,6.64563,7.84625,3.95,1.15,9.5,10,3.25,-3.2277421788,0,52,51.25,15,3.75,2.75,10.75,1.375,7.5,10,0,0,4,0.1395348837,0.023255814,0.6976744186,0.1395348837,4,6,4,3,2,1,1,2,1,5,0.5,2.5,0.5,0,5,1,0.5,2.5,0.5,2,0,2,5,1,4,2,0,2,0.7142857143,0,0,0.31265439338061,0,0,0,0,0,0,0,0,2.5,2.5,5,2,198,1.93,1.17,1.78,47,62,49,71,28,79,11,2,3,145,198,142,11,8,13,0,0,0.76,0.15,0.61,15,2,13,43,8,51,9,8,1,53,3,56,3,2,5,9,0,9,6.81,205,249,27,630,43,9,0,0,0,0,0,0,0,0,1.55,1.93,1.475,1.855,6.5,11,2.5,7,4.5,0,4.5,0,1.5,0.5,1.5,0.5,171.5,145,170,143.5,49.5,71,53.5,75,2.5,0,3,0.5,1.5,0.5,1.5,0.5,3.5005
Ag2InTb,8.8,-1,0,0,6.896,156.5,52,9127.25,6.700655,6.60875,3.9525,1.14,9.5,10,3.25,-3.2067016942,0,46,52,18,3,2,11.5,0.75,7.5,10,0,0,8,0.1304347826,0.0217391304,0.652173913,0.1956521739,7.5,4,4.5,3,2,1,1,2,1,5,0.5,6,0.5,0,3,1,0.5,3,0.5,2.5,0,2.5,3,1,2,5.5,0,5.5,9,0,0.324682175309602,0,0,0,0,6,3,3,2,194,0,0,0,0,0,1.93,1.1,1.78,47,65,49,71,26,79,11,2,3,145,194,142,11,11,13,0,0,0.83,0.15,0.68,18,2,16,45,8,53,9,8,1,49,3,52,0,2,2,0,0,0,6.74,208,247,27,626,46,0,0,0,0,0,0,0,0,0,1.515,1.93,1.44,1.855,6.5,11,2.5,7,0,0,0,0,3.25,0.5,3.25,0.5,169.5,145,168,143.5,48.5,71,52.5,75,1.5,0,2,0.5,1.75,0.5,1.75,0.5,3.448
Au2AlMn,220,1,0,3.8341045,6.358,133,18,12192.5,7.967712,1.225,4.7375,0.95,10.5,6,1.75,-4.7963433976,7.753017241375E-05,21,49,66,3,2,15,10,6.25,10,1.25,5,7,0.1,0.0166666667,0.4166666667,0.4666666667,4,1,4,3,3,1,0,2,2,1,0.5,2.5,0.5,0,0,1,0.5,2.5,0.5,2,0,2,0,1,1,2,0,2,0,0.115451782676113,0,0.115451782676113,2.5,2.5,7,0,0,0,0,0,2.5,2.5,0,7,150,2.54,1.55,1.61,79,25,13,70,60,80,11,7,3,136,150,121,11,7,13,0,0,0.99,0.93,0.06,54,66,12,10,10,20,4,8,4,14,15,29,4,2,6,3,0,3,8.24,196,280,32,543,42,3,0.000310120689655,0,0.000310120689655,0.000310120689655,0.000155060344828,0,0.000155060344828,0,2.045,2.54,1.58,2.075,9,11,5,7,1.5,0,1.5,0,1.5,0.5,1.5,0.5,143,136,135.5,128.5,65,70,70,75,0,0,0.5,0.5,1.5,0.5,1.5,0.5,3.179
Au2CeIn,1.2,-1,0,0,7.079,154.5,68,13149.75,7.44403,8.44375,4.345,1.97,9.5,10,3.25,-3.4656892075,0,60,66.25,30,7.25,7.375,16.75,8.25,7.75,9,2.25,9,5,0.0895522388,0.0149253731,0.4626865672,0.4328358209,4,4,2,3,2,1,1,2,1,5,0.5,2.5,0.5,0,3,1,0.5,0.5,0.5,0,0,0,3,1,2,2,0,2,2.1428571429,0,0,0.21593943011489,0,0,0,0,0,0,0,0,2.5,0.5,3,2,204,2.54,1.12,1.78,79,58,49,70,32,79,11,2,3,136,204,142,11,4,13,0,0,1.42,0.76,0.66,21,30,9,38,9,47,9,8,1,68,6,62,7,2,9,0,0,0,7.98,265,251,27,618,39,0,0,0,0,0,0,0,0,0,1.83,2.54,1.45,2.16,6.5,11,2.5,7,0,0,0,0,1.5,0.5,1.5,0.5,170,136,173,139,51,70,55.5,74.5,1.5,0,2,0.5,0.5,0.5,0.5,0.5,3.5395
